query_id,category,status,routing_success,expected_sequence_success,tool_calls,successful_tools,invalid_tools,recommendations,raw_fully_grounded,raw_validation_errors,delivered_fully_grounded,constraint_query,constrained_recommendations,constraint_valid_recommendations,constraint_query_answered_correctly,unsupported_query,unsupported_acknowledged,api_calls,cache_hits,total_ms,retrieval_ms,all_tools_ms,llm_wall_ms,llm_api_ms
agent_01,text_lexical,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,False,False,1,0,1321.5801669866778,1.8554170383140445,2.214334032032639,1317.8609169553965,1316.4920840063132
agent_02,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,2351.410166011192,1.6492499853484333,1.825292012654245,2347.302707959898,2343.5529999551363
agent_03,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,2455.3916250006296,1.4043329865671694,1.55345699749887,2451.7557499930263,2448.936250002589
agent_04,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,2456.7626250209287,1.9352500094100833,2.179207978770137,2452.1416249335743,2445.6377919996157
agent_05,text_lexical,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,False,False,1,0,1287.6657919841819,2.3571260389871895,2.7271260623820126,1283.8113750331104,1281.6759169800207
agent_06,text_lexical,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,False,False,2,0,2903.282625018619,2.8024169732816517,3.004500933457166,2897.9809169541113,2894.0380410058424
agent_07,text_semantic,answered,True,True,3,3,0,2,True,0,True,False,0,0,False,False,False,2,0,2622.1769580151886,52.51479201251641,52.628501085564494,2566.7847500299104,2559.8167090211064
agent_08,text_semantic,abstained,True,True,4,4,0,0,False,0,False,False,0,0,False,False,False,1,0,3991.7811249615625,29.425540938973427,29.523248900659382,3961.0738329938613,3959.3186249840073
agent_09,text_semantic,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,2,0,3207.398333004676,16.271458996925503,16.452210023999214,3189.4052079878747,3186.0716669471003
agent_10,text_semantic,answered,True,True,2,2,0,2,True,0,True,False,0,0,False,False,False,2,0,3636.9296250049956,41.93429200677201,41.94137500599027,3592.639332986437,3588.362833019346
agent_11,text_semantic,answered,True,True,3,3,0,1,True,0,True,False,0,0,False,False,False,2,0,2872.2318750224076,43.18212502403185,43.30437496537343,2827.096374996472,2820.3099160455167
agent_12,text_semantic,abstained,True,True,3,3,0,0,False,0,False,False,0,0,False,False,False,2,0,2510.071499971673,47.83904197392985,47.962082957383245,2459.55083303852,2455.7317089638673
agent_13,image_similarity,error,True,True,2,2,0,0,False,2,False,False,0,0,False,False,False,2,0,3556.351624953095,89.6626659668982,89.66749894898385,3464.093583985232,3459.591624967288
agent_14,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,1,1,2716.980416967999,33.18275004858151,33.21804304141551,2682.2627910296433,2679.61466696579
agent_15,image_similarity,error,True,True,2,2,0,0,False,1,False,False,0,0,False,False,False,1,1,1769.6227919659577,31.963540997821838,31.968790979590267,1736.213540949393,1734.24362501828
agent_16,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,1,1,2563.0339169874787,35.71716701844707,35.74804199161008,2525.650041003246,2523.4687500051223
agent_17,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,1,1,2836.7803339497186,36.545416980516165,36.56908398261294,2799.1277929977514,2797.3971250467002
agent_18,image_similarity,answered,True,True,3,3,0,3,True,0,True,False,0,0,False,False,False,1,1,2318.7961250077933,31.678124971222132,31.730624963529408,2285.6927079847082,2283.4565000375733
agent_19,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2522.5999579997733,26.426500000525266,26.639916992280632,2494.3660829449072,2491.9740430195816
agent_20,image_plus_filter,answered,True,True,4,4,0,2,True,0,True,True,2,2,True,False,False,2,0,2606.996333983261,38.74324995558709,39.0022499486804,2566.0764169879258,2562.2743340209126
agent_21,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2200.6836669752374,32.93966699857265,33.157709054648876,2165.388501016423,2162.2212920337915
agent_22,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2494.2694999626838,39.26841699285433,39.53520907089114,2452.596374962013,2449.215583037585
agent_23,image_plus_filter,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2224.1403340012766,39.84812501585111,40.10091605596244,2181.9575000554323,2178.1813329434954
agent_24,image_plus_filter,abstained,True,True,2,2,0,0,False,0,False,True,0,0,False,False,False,1,0,1250.1473750453442,36.04366700164974,36.234416998922825,1212.8950409824029,1211.292207997758
agent_25,comparison,answered,True,True,4,4,0,3,True,0,True,True,3,3,True,True,True,2,0,3964.4010000047274,1.492291979957372,1.588959014043212,3960.6167090241797,3956.0682920273393
agent_26,comparison,answered,True,True,6,6,0,3,True,0,True,True,3,3,True,False,False,2,0,2997.666416980792,2.5707919849082828,2.8073759749531746,2992.5824590027332,2988.3131670067087
agent_27,comparison,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,4535.18270800123,1.9029169925488532,2.0145010203123093,4530.923000071198,4524.196083017159
agent_28,comparison,answered,True,True,4,4,0,2,True,0,True,True,2,2,True,False,False,2,0,2852.8135829837993,0.9927089558914304,1.0891249985434115,2849.564999982249,2846.379542024806
agent_29,comparison,answered,True,True,4,4,0,1,True,0,True,True,1,1,True,False,False,2,0,2631.723584025167,1.189792004879564,1.2954589910805225,2628.711499972269,2626.0049160337076
agent_30,comparison,answered,True,True,6,6,0,1,True,0,True,True,1,1,True,True,True,2,0,2365.5430839862674,2.6725420029833913,2.979583980049938,2360.3392929653637,2356.536667968612
agent_31,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,3866.5581670356914,0.9590419940650463,1.0194590431638062,3863.394290965516,3856.8637929856777
agent_32,unsupported_constraint,answered,True,True,3,3,0,1,True,0,True,True,1,1,True,True,True,2,0,2528.8637920166366,1.823917031288147,1.9948340486735106,2524.994792009238,2522.029499989003
agent_33,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,3665.651374962181,1.1856660130433738,1.2626239913515747,3661.9587489403784,3657.676332979463
agent_34,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,4062.1665839571506,1.4342500362545252,1.4837500639259815,4058.735041995533,4054.56379201496
agent_35,unsupported_constraint,abstained,True,True,4,4,0,0,False,0,False,True,0,0,False,True,True,1,0,1455.1181249553338,2.2047090460546315,2.3600010899826884,1451.435416995082,1449.4761670357548
agent_36,unsupported_constraint,answered,True,True,3,3,0,3,True,0,True,True,3,3,True,True,True,2,0,3434.997290954925,1.3028330286033452,1.3701670686714351,3430.9045420377515,3426.5494579449296
